,star_name,st_teff,st_lumclass,st_age,st_rad,st_mass,st_logg
237,HIP 88601 A,5019.0,MAINSEQ,,1.09,0.91,4.03
238,HIP 88635,4914.0,GIANT,,11.22,2.93,
239,HIP 88745 A,5925.0,MAINSEQ,,1.36,1.2,
240,HIP 88771,8400.0,MAINSEQ,,2.12,2.16,3.89
241,HIP 88972,5000.0,MAINSEQ,12.6,0.79,0.79,4.56
242,HIP 89042,5976.0,MAINSEQ,,1.24,1.16,4.3
243,HIP 89937,6122.0,MAINSEQ,,1.3,1.22,
244,HIP 89962,4975.0,GIANT,1.9,5.94,2.42,3.21
245,HIP 90496,4809.0,GIANT,,10.41,2.76,
246,HIP 91262,9519.0,MAINSEQ,,2.87,2.87,3.88
247,HIP 91438,5564.0,MAINSEQ,8.88,0.9,0.87,4.48
248,HIP 92043,6423.0,MAINSEQ,3.28,2.03,1.35,3.99
249,HIP 92161,8334.0,MAINSEQ,,1.77,1.95,
250,HD 176051,6064.0,MAINSEQ,,1.11,1.11,
251,HIP 93506 A,8799.0,MAINSEQ,,3.28,2.83,3.9
252,HIP 93747,9190.0,MAINSEQ,,2.5,2.58,3.74
253,HIP 93825 A,6202.0,MAINSEQ,,1.99,1.53,4.1
254,HIP 94376,4966.0,GIANT,,10.42,2.85,
255,HIP 95447,5656.0,MAINSEQ,9.44,1.36,1.15,4.24
256,HD 181433,4900.0,MAINSEQ,,0.83,0.77,4.49
257,HIP 95501,7074.0,MAINSEQ,,2.0,1.76,
258,HIP 96100,5246.0,MAINSEQ,9.2,0.81,0.8,4.54
259,HIP 96441,6594.0,MAINSEQ,2.0,1.58,1.35,4.2
260,HIP 96895,5781.0,MAINSEQ,8.36,1.26,1.02,4.28
261,HIP 97649,7800.0,MAINSEQ,,1.79,1.83,3.76
262,HIP 98036,5163.0,GIANT,2.6,3.12,1.47,3.65
263,HD 190360,5552.0,MAINSEQ,13.4,1.15,0.98,4.31
264,HIP 99240,5590.0,MAINSEQ,6.2,1.22,0.99,4.28
265,HIP 99461,4922.0,MAINSEQ,15.0,0.74,0.74,4.58
266,HD 192310,5080.0,MAINSEQ,9.3,0.81,0.82,4.55
267,HIP 100017,5886.0,MAINSEQ,3.76,1.03,1.02,4.43
268,HIP 102333,7448.0,MAINSEQ,,1.66,1.68,4.23
269,HIP 102422,4940.0,GIANT,,4.18,1.77,3.27
270,HIP 102431,6138.0,MAINSEQ,,2.81,1.81,
271,HIP 102485,6633.0,MAINSEQ,,1.52,1.43,4.22
272,HIP 102488,4799.0,GIANT,,11.2,2.86,2.39
273,HIP 104214,4655.0,MAINSEQ,,0.62,0.66,4.7
274,HIP 104217,4145.0,MAINSEQ,,0.54,0.56,4.71
