,pl_name,hostname,pl_masse,pl_rade,pl_dens,pl_eqt,pl_orbper,img,orbit_img
51,TOI-1444 b,TOI-1444,3.87,1.397,,,0.4702694,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1444_b_Spc.png
52,TOI-2196 b,TOI-2196,,3.503,,1720.85567669,1.19539684,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2196_b_Spc.png
53,TOI-1266 c,TOI-1266,6.4,1.673,,347.1,18.80152,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1266_c_Spc.png
55,TOI-1246 d,TOI-1246,,3.003,,642.0,18.6548112,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1246_d_Spc.png
56,TOI-1670 b,TOI-1670,41.31769,2.06,8.6,1062.0,10.98462,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1670_b_Spc.png
57,TOI-2081 b,TOI-2081,,2.04,,488.0,10.50534,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2081_b_Spc.png
58,HD 191939 b,HD 191939,,3.328,,845.0,8.880327,,http://www.exoplanetkyoto.org/exohtml/HD-191939_b_Spc.png
59,TOI-2567 b,TOI-2567,,10.836,,1315.0,5.9839451,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2567_b_Spc.png
60,TOI-1670 c,TOI-1670,,10.881,,625.0,40.7500411,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1670_c_Spc.png
62,HD 191939 d,HD 191939,,3.16,,499.0,38.3561,,http://www.exoplanetkyoto.org/exohtml/HD-191939_d_Spc.png
63,TOI-1298 b,TOI-1298,113.14691,9.427,0.743,1388.0,4.537164,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1298_b_Spc.png
64,TOI-1452 b,TOI-1452,,1.473,,350.0,11.0619361,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1452_b_Spc.png
65,TOI-1130 b,TOI-1130,,3.65,,810.0,4.066499,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1130_b_Spc.png
66,TOI-1259 A b,TOI-1259 A,140.16233,11.456,0.513,963.0,3.477978,,http://www.exoplanetkyoto.org/exohtml/TOI-1259-A_b_Spc.png
68,HIP 97166 b,HIP 97166,,2.731,,623.0,10.2888964,,http://www.exoplanetkyoto.org/exohtml/HIP-97166_b_Spc.png
69,TOI-1296 b,TOI-1296,,14.909,,1486.0,3.9443725,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1296_b_Spc.png
70,HD 219666 b,HD 219666,16.6,4.71,0.87,1073.0,6.03607,,http://www.exoplanetkyoto.org/exohtml/HD-219666_b_Spc.png
71,L 98-59 d,L 98-59,,1.722,,307.0,7.4507325,,http://www.exoplanetkyoto.org/exohtml/L-98-59_d_Spc.png
72,TOI-1201 b,TOI-1201,,2.219,,639.981742614,2.49197708,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1201_b_Spc.png
73,GJ 3090 b,GJ 3090,,2.127,,650.18562687,2.85310081,,http://www.exoplanetkyoto.org/exohtml/GJ-3090_b_Spc.png
74,TOI-2158 b,TOI-2158,,10.799,,837.0,8.6007557,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2158_b_Spc.png
76,pi Men c,HD 39091,4.52,2.06,2.82,1147.0,6.26834,,http://www.exoplanetkyoto.org/exohtml/pi-Men_c_Spc.png
79,HD 1397 b,HD 1397,131.89945,11.5,0.477,1228.3,11.53533,,http://www.exoplanetkyoto.org/exohtml/HD-1397_b_Spc.png
80,TOI-125 d,TOI-125,,2.876,,575.408772087,19.9812509,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-125_d_Spc.png
82,TOI-1820 b,TOI-1820,731.00534,12.778,2.0,1375.0,4.860674,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1820_b_Spc.png
85,TOI-1246 c,TOI-1246,8.8,2.51,3.21,860.0,5.904144,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1246_c_Spc.png
87,HD 152843 b,HD 152843,11.56,3.41,1.58,,11.6264,,http://www.exoplanetkyoto.org/exohtml/HD-152843_b_Spc.png
88,HD 152843 c,HD 152843,27.5,5.83,0.82,,24.38,,http://www.exoplanetkyoto.org/exohtml/HD-152843_c_Spc.png
90,TOI-3884 b,TOI-3884,,5.718,,429.0,4.5445569,,http://www.exoplanetkyoto.org/exohtml/TOI-3884_b_Spc.png
92,TOI-172 b,TOI-172,1722.6386,10.817,7.53,1198.0,9.47725,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-172_b_Spc.png
93,TOI-150.01,TOI-150,556.2025,15.468,0.83,1493.0,5.857342,,http://www.exoplanetkyoto.org/exohtml/TOI-150._1_Spc.png
95,TOI-163 b,TOI-163,387.7526,16.69,0.49,1669.0,4.231306,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-163_b_Spc.png
99,HD 332231 b,HD 332231,,9.935,,862.0,18.7121918,,http://www.exoplanetkyoto.org/exohtml/HD-332231_b_Spc.png
100,TOI-1235 b,TOI-1235,,1.755,,726.0,3.4446942,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1235_b_Spc.png
103,TOI-169 b,TOI-169,251.40353,12.173,0.76,1715.0,2.2554477,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-169_b_Spc.png
108,TOI-3714 b,TOI-3714,222.47988,11.321,0.85,750.0,2.154849,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-3714_b_Spc.png
111,TOI-892 b,TOI-892,,12.034,,1361.0,10.6265837,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-892_b_Spc.png
112,TOI-561 f,TOI-561,,2.156,,624.88208033,16.35738526,,http://www.exoplanetkyoto.org/exohtml/TOI-561_f_Spc.png
113,HD 183579 b,HD 183579,11.2,3.53,1.4,748.0,17.471275,,http://www.exoplanetkyoto.org/exohtml/HD-183579_b_Spc.png
114,TOI-540 b,TOI-540,,,,,1.2391481,http://www.exoplanetkyoto.org/exohtml/Planets/SnowBallEarth.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-540_b_Spc.png
115,L 98-59 c,L 98-59,,1.35,,,3.690621,,http://www.exoplanetkyoto.org/exohtml/L-98-59_c_Spc.png
116,TOI-1062 c,TOI-1062,,,,859.0,7.972,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1062_c_Spc.png
117,LHS 1678 c,LHS 1678,1.4,0.982,10.6,,3.694247,,http://www.exoplanetkyoto.org/exohtml/LHS-1678_c_Spc.png
118,TOI-700 d,TOI-700,,1.145,,247.18023265,37.42433658,http://www.exoplanetkyoto.org/exohtml/Planets/SnowBallEarth.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-700_d_Spc.png
119,TOI-216.01,TOI-216,177.98391,10.1,,,34.525528,,http://www.exoplanetkyoto.org/exohtml/TOI-216._1_Spc.png
120,GJ 3929 b,GJ 3929,,1.097,,533.227164267,2.61627687,,http://www.exoplanetkyoto.org/exohtml/GJ-3929_b_Spc.png
121,TOI-220 b,TOI-220,13.8,3.03,2.73,805.0,10.695264,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-220_b_Spc.png
122,TOI-216.02,TOI-216,18.75188,8.0,,,17.16073,,http://www.exoplanetkyoto.org/exohtml/TOI-216._2_Spc.png
123,TOI-564 b,TOI-564,,7.975,,1574.4899791,1.65114706,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-564_b_Spc.png
124,HD 108236 b,HD 108236,,1.553,,1072.06539894,3.79588997,,http://www.exoplanetkyoto.org/exohtml/HD-108236_b_Spc.png
125,TOI-4329 b,TOI-4329,143.02278,16.813,,,2.9223,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-4329_b_Spc.png
126,HR 858 b,HR 858,,1.771,,1404.0,3.58529,,http://www.exoplanetkyoto.org/exohtml/HR-858_b_Spc.png
127,TOI-2260 b,TOI-2260,,1.62,,2609.0,0.3524728,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2260_b_Spc.png
128,TOI-481 b,TOI-481,486.2799,11.097,,1370.0,10.33111,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-481_b_Spc.png
129,HD 56414 b,HD 56414,,3.71,,1133.0,29.04992,,http://www.exoplanetkyoto.org/exohtml/HD-56414_b_Spc.png
130,LP 890-9 b,LP 890-9,13.2,1.32,,396.0,2.7299025,,http://www.exoplanetkyoto.org/exohtml/LP-890-9_b_Spc.png
131,HD 93963 A c,HD 93963 A,,2.993,,1143.0,3.6451549,,http://www.exoplanetkyoto.org/exohtml/HD-93963-A_c_Spc.png
133,TOI-431 b,TOI-431,,1.474,,1730.71926889,0.49005894,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-431_b_Spc.png
134,HD 108236 c,HD 108236,,2.071,,,6.203449,,http://www.exoplanetkyoto.org/exohtml/HD-108236_c_Spc.png
135,TOI-677 b,TOI-677,,,,,11.236697,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-677_b_Spc.png
136,TIC 257060897 b,TIC 257060897,212.94503,16.701,0.25,1762.0,3.660028,,http://www.exoplanetkyoto.org/exohtml/TIC-257060897_b_Spc.png
138,HD 221416 b,HD 221416,,8.357,,789.146837277,14.278122,,http://www.exoplanetkyoto.org/exohtml/HD-221416_b_Spc.png
140,TOI-122 b,TOI-122,,2.709,,431.253643984,5.07802549,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-122_b_Spc.png
141,LTT 3780 b,LTT 3780,,1.141,,830.890481743,0.76839038,,http://www.exoplanetkyoto.org/exohtml/LTT-3780_b_Spc.png
142,TOI-561 b,TOI-561,,1.371,,2075.26247999,0.44656943,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-561_b_Spc.png
143,LP 791-18 c,LP 791-18,,2.284,,312.05738957,4.98990315,,http://www.exoplanetkyoto.org/exohtml/LP-791-18_c_Spc.png
144,HD 110082 b,HD 110082,,3.2,,,10.18271,,http://www.exoplanetkyoto.org/exohtml/HD-110082_b_Spc.png
145,HD 108236 d,HD 108236,,2.539,,,14.175685,,http://www.exoplanetkyoto.org/exohtml/HD-108236_d_Spc.png
146,TOI-954 b,TOI-954,,9.055,,1659.0,3.68497,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-954_b_Spc.png
147,HIP 65 A b,HIP 65 A,,5.916,,1320.95170904,0.98098068,,http://www.exoplanetkyoto.org/exohtml/HIP-65-A_b_Spc.png
148,LP 714-47 b,LP 714-47,,,,,4.052034,,http://www.exoplanetkyoto.org/exohtml/LP-714-47_b_Spc.png
151,TOI-2184 b,TOI-2184,206.58846,11.4,0.76,,6.90683,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2184_b_Spc.png
152,TOI-251 b,TOI-251,,,,,4.9377254,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-251_b_Spc.png
153,HD 93963 A b,HD 93963 A,,1.537,,1926.0,1.0376109,,http://www.exoplanetkyoto.org/exohtml/HD-93963-A_b_Spc.png
154,WD 1856+534 b,WD 1856+534,4386.054,10.4,,163.0,1.4079405,,http://www.exoplanetkyoto.org/exohtml/WD-1856+534_b_Spc.png
155,TOI-763 b,TOI-763,9.79,2.28,4.51,1038.0,5.6057,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-763_b_Spc.png
156,TOI-178 c,TOI-178,,1.515,,801.67793856,3.23842532,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-178_c_Spc.png
157,HD 15337 b,HD 15337,,1.725,,909.532785507,4.75597368,,http://www.exoplanetkyoto.org/exohtml/HD-15337_b_Spc.png
158,LTT 1445 A b,LTT 1445 A,2.2,1.38,4.4,433.0,5.35882,,http://www.exoplanetkyoto.org/exohtml/LTT-1445-A_b_Spc.png
159,TOI-2136 b,TOI-2136,6.37,2.19,3.34,395.0,7.851928,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2136_b_Spc.png
161,L 98-59 b,L 98-59,,0.8,,,2.25314,,http://www.exoplanetkyoto.org/exohtml/L-98-59_b_Spc.png
163,AU Mic b,AU Mic,17.0,4.07,1.4,593.0,8.463,,http://www.exoplanetkyoto.org/exohtml/AU-Mic_b_Spc.png
165,TOI-1260 c,TOI-1260,,2.79,,607.601399035,7.4932161,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1260_c_Spc.png
166,TOI-1422 b,TOI-1422,,3.09,,853.0,12.99844,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1422_b_Spc.png
167,HD 63433 b,HD 63433,,,,,7.107789,,http://www.exoplanetkyoto.org/exohtml/HD-63433_b_Spc.png
168,TOI-1431 b,TOI-1431,,16.586,,2186.437532,2.65044,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1431_b_Spc.png
170,TOI-269 b,TOI-269,,2.917,,533.842612168,3.69772375,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-269_b_Spc.png
171,HD 63433 c,HD 63433,,2.67,,,20.5453,,http://www.exoplanetkyoto.org/exohtml/HD-63433_c_Spc.png
173,TOI-4479 b,TOI-4479,,2.82,,861.0,1.1589,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-4479_b_Spc.png
174,TOI-421 c,TOI-421,16.42,5.09,0.685,673.6,16.06819,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-421_c_Spc.png
176,TOI-1181 b,TOI-1181,,16.627,,2073.0,2.1031942,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1181_b_Spc.png
179,HD 202772 A b,HD 202772 A,323.23311,17.318,0.343,2132.0,3.308958,,http://www.exoplanetkyoto.org/exohtml/HD-202772-A_b_Spc.png
181,TOI-2257 b,TOI-2257,,2.231,,297.0,35.189636,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2257_b_Spc.png
183,TOI-1338 b,TOI-1338,33.0,6.85,0.56,,95.174,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1338_b_Spc.png
