,pl_name,hostname,pl_masse,pl_rade,pl_dens,pl_eqt,pl_orbper,img,orbit_img
218,TOI-1278 b,TOI-1278,5879.82553,12.218,18.0,,14.47567,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1278_b_Spc.png
221,TOI-1064 b,TOI-1064,13.5,2.587,4.30062,784.0,6.443868,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1064_b_Spc.png
222,TOI-1064 c,TOI-1064,2.5,2.651,0.77191,634.0,12.226574,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1064_c_Spc.png
224,TOI-2445 b,TOI-2445,,1.406,,964.464766372,0.37113344,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2445_b_Spc.png
225,TOI-5153 b,TOI-5153,1036.12061,11.882,,906.0,20.33003,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-5153_b_Spc.png
228,TOI-1107 b,TOI-1107,,13.848,,1617.8291348,4.07822097,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1107_b_Spc.png
229,GJ 3473 b,GJ 3473,,1.122,,704.633400519,1.19799593,,http://www.exoplanetkyoto.org/exohtml/GJ-3473_b_Spc.png
231,TOI-1728 b,TOI-1728,,4.939,,718.0,3.4913952,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1728_b_Spc.png
232,TOI-1411 b,TOI-1411,,1.429,,1137.0,1.4520464,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1411_b_Spc.png
233,TOI-1693 b,TOI-1693,,1.415,,700.854668973,1.7666834,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1693_b_Spc.png
235,TOI-700 c,TOI-700,,2.602,,327.765425593,16.05114065,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-700_c_Spc.png
236,TOI-270 b,TOI-270,1.58,1.206,4.97,581.0,3.3601538,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-270_b_Spc.png
238,GJ 357 b,GJ 357,,1.217,,499.4797832,3.93059678,,http://www.exoplanetkyoto.org/exohtml/GJ-357_b_Spc.png
239,L 168-9 b,L 168-9,,1.74,,891.637661967,1.40152452,,http://www.exoplanetkyoto.org/exohtml/L-168-9_b_Spc.png
240,HD 15337 c,HD 15337,8.11,2.39,3.23,642.0,17.1784,,http://www.exoplanetkyoto.org/exohtml/HD-15337_c_Spc.png
242,TOI-411 c,TOI-411,,2.305,,941.916654085,9.57307064,,http://www.exoplanetkyoto.org/exohtml/TOI-411_c_Spc.png
243,TOI-411 b,TOI-411,,1.547,,1255.70505439,4.04041304,,http://www.exoplanetkyoto.org/exohtml/TOI-411_b_Spc.png
244,TOI-5542 b,TOI-5542,,13.806,,462.0,75.1247037,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-5542_b_Spc.png
248,TOI-1260 b,TOI-1260,8.6,2.34,3.69,860.0,3.12748,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1260_b_Spc.png
249,TOI-1842 b,TOI-1842,68.01528,11.657,0.252,,9.5739,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1842_b_Spc.png
251,TOI-178 g,TOI-178,3.94,2.87,0.915,470.0,20.7095,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-178_g_Spc.png
252,TOI-500 b,TOI-500,,1.295,,1577.39327666,0.54815511,http://www.exoplanetkyoto.org/exohtml/Planets/SnowBallEarth.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-500_b_Spc.png
254,TOI-776 b,TOI-776,,1.787,,478.985218833,8.243393,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-776_b_Spc.png
255,TOI-776 c,TOI-776,,1.923,,383.269580122,15.66531838,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-776_c_Spc.png
256,TOI-237 b,TOI-237,,,,,5.436147,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-237_b_Spc.png
257,TOI-2109 b,TOI-2109,,15.729,,3053.0,0.67249,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2109_b_Spc.png
259,TOI-1231 b,TOI-1231,15.4,3.65,1.74,329.6,24.245586,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1231_b_Spc.png
260,TOI-1333 b,TOI-1333,753.2571,15.648,1.08,1679.0,4.720219,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1333_b_Spc.png
261,TOI-559 b,TOI-559,1910.14873,12.229,5.74,1180.0,6.9839095,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-559_b_Spc.png
262,TOI-2046 b,TOI-2046,,18.354,,2486.0,1.4972,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2046_b_Spc.png
263,TOI-1075 b,TOI-1075,,1.72,,1336.0,0.6047328,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1075_b_Spc.png
264,HD 18599 b,HD 18599,,2.676,,918.679686424,4.13743792,,http://www.exoplanetkyoto.org/exohtml/HD-18599_b_Spc.png
272,TOI-942 b,TOI-942,826.358,4.81,,,4.32419,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-942_b_Spc.png
273,HD 21749 c,GJ 143,,1.0,,651.712058226,7.78972448,,http://www.exoplanetkyoto.org/exohtml/HD-21749_c_Spc.png
274,HD 73583 c,HD 73583,9.7,2.39,3.88,498.0,18.87974,,http://www.exoplanetkyoto.org/exohtml/HD-73583_c_Spc.png
275,LTT 1445 A c,LTT 1445 A,1.54,1.147,5.57,508.0,3.1239035,,http://www.exoplanetkyoto.org/exohtml/LTT-1445-A_c_Spc.png
278,HD 108236 e,HD 108236,,3.12,,636.0,19.5917,,http://www.exoplanetkyoto.org/exohtml/HD-108236_e_Spc.png
279,NGTS-20 b,NGTS-20,,11.635,,449.0,54.3212423,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/NGTS-20_b_Spc.png
281,TOI-178 d,TOI-178,,2.916,,633.667414374,6.55767002,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-178_d_Spc.png
282,HD 5278 b,HD 5278,7.8,2.45,2.9,943.0,14.339156,,http://www.exoplanetkyoto.org/exohtml/HD-5278_b_Spc.png
285,TOI-2411 b,TOI-2411,,1.747,,1288.74312563,0.78276495,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2411_b_Spc.png
286,HD 260655 c,HD 260655,,3.58,,653.0,5.7057959,,http://www.exoplanetkyoto.org/exohtml/HD-260655_c_Spc.png
287,TOI-640 b,TOI-640,279.6904,19.851,0.195,1749.0,5.0037775,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-640_b_Spc.png
288,TOI-849 b,TOI-849,39.09,3.444,5.2,,0.76552414,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-849_b_Spc.png
289,TOI-530 b,TOI-530,,8.435,,495.612355053,6.38758417,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-530_b_Spc.png
292,TOI-2025 b,TOI-2025,,12.534,,941.0,8.8720857,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2025_b_Spc.png
299,HD 213885 b,HD 213885,,1.613,,1926.2731303,1.00822656,,http://www.exoplanetkyoto.org/exohtml/HD-213885_b_Spc.png
300,HD 28109 b,HD 28109,,2.537,,803.989941714,22.89108655,,http://www.exoplanetkyoto.org/exohtml/HD-28109_b_Spc.png
301,TOI-2406 b,TOI-2406,,2.94,,447.0,3.0766896,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2406_b_Spc.png
302,TOI-451 b,TOI-451,,1.91,,1491.0,1.858703,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-451_b_Spc.png
303,TIC 237913194 b,TIC 237913194,617.22586,12.52,1.847,974.0,15.168865,,http://www.exoplanetkyoto.org/exohtml/TIC-237913194_b_Spc.png
306,TOI-1442 b,TOI-1442,,1.17,,1072.0,0.4090677,http://www.exoplanetkyoto.org/exohtml/Planets/SnowBallEarth.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1442_b_Spc.png
308,TOI-270 c,TOI-270,6.15,2.355,2.6,488.0,5.6605731,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-270_c_Spc.png
311,TOI-1246 e,TOI-1246,,3.276,,462.441473726,37.92194979,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1246_e_Spc.png
312,TOI-1246 b,TOI-1246,8.1,3.01,1.63,955.0,4.30744,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1246_b_Spc.png
319,TOI-1227 b,TOI-1227,,6.545,,243.766018818,27.36334303,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1227_b_Spc.png
321,GJ 143 b,GJ 143,22.7,2.61,7.0,422.0,35.61253,,http://www.exoplanetkyoto.org/exohtml/GJ-143_b_Spc.png
323,HD 191939 c,HD 191939,7.2,3.08,1.4,605.0,28.5805,,http://www.exoplanetkyoto.org/exohtml/HD-191939_c_Spc.png
331,HD 28109 c,HD 28109,,4.351,,596.659387666,56.00654985,,http://www.exoplanetkyoto.org/exohtml/HD-28109_c_Spc.png
334,TOI-519 b,TOI-519,4449.62,11.994,,760.0,1.2652328,,http://www.exoplanetkyoto.org/exohtml/TOI-519_b_Spc.png
336,TOI-1601 b,TOI-1601,,14.61,,1593.0,5.33155,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1601_b_Spc.png
339,TOI-3629 b,TOI-3629,82.63539,8.295,0.8,690.0,3.936551,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-3629_b_Spc.png
341,TOI-824 b,TOI-824,,3.05,,1148.71410443,1.392975,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-824_b_Spc.png
344,LHS 1478 b,LHS 1478,,1.257,,560.784602724,1.94952132,,http://www.exoplanetkyoto.org/exohtml/LHS-1478_b_Spc.png
348,TOI-1516 b,TOI-1516,1004.33777,15.244,,,2.056014,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1516_b_Spc.png
351,TOI-969 b,TOI-969,,3.65,,1002.0,1.8237371,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-969_b_Spc.png
355,TOI-2180 b,TOI-2180,875.61726,11.321,3.32,348.0,260.79,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2180_b_Spc.png
358,TOI-1789 b,TOI-1789,,13.805,,1681.0,3.208717,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1789_b_Spc.png
361,TOI-558 b,TOI-558,,13.53,,1012.99314266,14.57289854,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-558_b_Spc.png
362,LHS 1815 b,LHS 1815,8.7,1.088,,617.0,3.81433,,http://www.exoplanetkyoto.org/exohtml/LHS-1815_b_Spc.png
364,HD 86226 c,HD 86226,,2.109,,1184.3337664,3.98467677,,http://www.exoplanetkyoto.org/exohtml/HD-86226_c_Spc.png
366,TOI-125 b,TOI-125,,3.31,,935.356821082,4.65179058,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-125_b_Spc.png
369,TOI-561 c,TOI-561,,2.74,,815.0,10.7787735,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-561_c_Spc.png
370,TOI-431 d,TOI-431,,3.281,,588.5612549,12.46100864,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-431_d_Spc.png
372,HD 73583 b,HD 73583,10.2,2.79,2.58,714.0,6.398042,,http://www.exoplanetkyoto.org/exohtml/HD-73583_b_Spc.png
385,TOI-674 b,TOI-674,,5.057,,644.28680008,1.97716367,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-674_b_Spc.png
389,TOI-270 d,TOI-270,,2.13,,340.0,11.38014,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-270_d_Spc.png
403,TOI-421 b,TOI-421,7.17,2.68,2.05,981.4,5.19672,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-421_b_Spc.png
404,TOI-1062 b,TOI-1062,,2.084,,988.840570449,4.11501333,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1062_b_Spc.png
408,HR 858 d,HR 858,,2.164,,1075.0,11.23,,http://www.exoplanetkyoto.org/exohtml/HR-858_d_Spc.png
413,TOI-451 c,TOI-451,,2.725,,768.699587626,9.19107915,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-451_c_Spc.png
414,TOI-833 b,TOI-833,,1.352,,1033.92216242,1.04189085,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-833_b_Spc.png
418,TOI-561 d,TOI-561,11.95,2.53,4.1,,25.62,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-561_d_Spc.png
420,TOI-1272 b,TOI-1272,,4.595,,923.0,3.3159772,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1272_b_Spc.png
427,GJ 367 b,GJ 367,0.546,0.718,8.106,1745.0,0.321962,,http://www.exoplanetkyoto.org/exohtml/GJ-367_b_Spc.png
430,TOI-813 b,TOI-813,,7.178,,594.812973824,83.89675274,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-813_b_Spc.png
436,LHS 1678 b,LHS 1678,0.35,0.696,6.0,,0.8602322,,http://www.exoplanetkyoto.org/exohtml/LHS-1678_b_Spc.png
441,TOI-2285 b,TOI-2285,19.5,1.74,,284.0,27.26955,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2285_b_Spc.png
446,TOI-1268 b,TOI-1268,,9.317,,859.0,8.1577318,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1268_b_Spc.png
447,TOI-763 c,TOI-763,,3.073,,722.278693048,12.27730618,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-763_c_Spc.png
449,TOI-2669 b,TOI-2669,,10.139,,1182.0,6.2034438,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2669_b_Spc.png
450,TOI-544 b,TOI-544,,2.03,,1082.0,1.548351,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-544_b_Spc.png
457,TOI-837 b,TOI-837,,7.6,,907.0,8.3249309,,http://www.exoplanetkyoto.org/exohtml/TOI-837_b_Spc.png
459,TOI-3362 b,TOI-3362,,11.902,,643.0,18.0954753,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-3362_b_Spc.png
465,LTT 3780 c,LTT 3780,,2.075,,330.116073787,12.25217688,,http://www.exoplanetkyoto.org/exohtml/LTT-3780_c_Spc.png
469,TOI-1696 b,TOI-1696,48.8,3.09,,489.0,2.500311,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1696_b_Spc.png
473,HD 28109 d,HD 28109,5.681,3.25,,506.5,84.25999,,http://www.exoplanetkyoto.org/exohtml/HD-28109_d_Spc.png
492,TOI-942 c,TOI-942,794.575,5.79,,,10.15643,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-942_c_Spc.png
495,TOI-2193 A b,TOI-2193 A,298.7587,19.84,0.06,1763.0,2.1225735,,http://www.exoplanetkyoto.org/exohtml/TOI-2193-A_b_Spc.png
496,TOI-2207 b,TOI-2207,203.41018,11.153,0.8,1259.0,8.001968,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2207_b_Spc.png
497,TOI-2236 b,TOI-2236,502.16888,14.37,0.93,1688.0,3.5315902,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2236_b_Spc.png
498,TOI-2421 b,TOI-2421,105.83686,10.368,0.52,1534.0,4.3474032,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2421_b_Spc.png
499,TOI-2570 b,TOI-2570,260.61929,13.641,0.563,1431.0,2.9887615,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2570_b_Spc.png
500,TOI-3331 A b,TOI-3331 A,721.47048,12.98,1.82,1488.0,2.0180231,,http://www.exoplanetkyoto.org/exohtml/TOI-3331-A_b_Spc.png
501,TOI-3693 b,TOI-3693,324.18498,12.599,0.89,801.0,9.088516,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-3693_b_Spc.png
502,TOI-4137 b,TOI-4137,457.67291,13.574,1.01,1570.0,3.8016122,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-4137_b_Spc.png
515,TOI-620 b,TOI-620,,2.926,,538.189901912,5.09883061,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-620_b_Spc.png
518,TOI-712 b,TOI-712,,2.105,,496.0,9.5313851,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-712_b_Spc.png
519,TOI-712 c,TOI-712,,2.41,,337.0,51.6992365,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-712_c_Spc.png
520,TOI-712 d,TOI-712,,1.815,,277.0,84.8403392,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-712_d_Spc.png
524,TOI-3757 b,TOI-3757,85.3,12.0,0.27,759.0,3.438753,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-3757_b_Spc.png
525,TOI-561 e,TOI-561,16.0,2.67,4.6,,77.23,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-561_e_Spc.png
534,TOI-3540 A b,TOI-3540 A,375.03752,23.539,0.065,1498.0,3.119999,,http://www.exoplanetkyoto.org/exohtml/TOI-3540-A_b_Spc.png
545,HIP 67522 b,HIP 67522,,10.07,,1174.0,6.959503,,http://www.exoplanetkyoto.org/exohtml/HIP-67522_b_Spc.png
550,TOI-257 b,TOI-257,43.86032,7.163,0.65,1027.0,18.38818,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-257_b_Spc.png
554,TOI-700 b,TOI-700,,0.971,,384.055422478,9.97731345,http://www.exoplanetkyoto.org/exohtml/Planets/SnowBallEarth.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-700_b_Spc.png
562,HD 260655 b,HD 260655,,1.473,,1014.0,2.7695085,,http://www.exoplanetkyoto.org/exohtml/HD-260655_b_Spc.png
574,TOI-1130 c,TOI-1130,,11.142,,588.0,8.34998,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1130_c_Spc.png
575,TOI-178 b,TOI-178,1.5,1.152,5.4,1040.0,1.914558,http://www.exoplanetkyoto.org/exohtml/Planets/SnowBallEarth.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-178_b_Spc.png
581,TOI-206 b,TOI-206,,1.471,,840.172061798,0.73630952,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-206_b_Spc.png
598,TOI-451 d,TOI-451,,3.925,,634.2219521,16.36487304,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-451_d_Spc.png
601,TOI-431 c,TOI-431,,,,867.0,4.8494,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-431_c_Spc.png
602,TOI-532 b,TOI-532,61.5,5.82,1.72,867.0,2.3266508,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-532_b_Spc.png
630,TOI-1749 b,TOI-1749,57.0,1.39,,831.0,2.38839,,http://www.exoplanetkyoto.org/exohtml/TOI-1749_b_Spc.png
